FIPS,clusters
28027,cluster_2
28029,cluster_2
28033,cluster_3
28035,cluster_3
28037,cluster_3
28039,cluster_3
28041,cluster_3
28043,cluster_3
28045,cluster_3
28047,cluster_3
28049,cluster_2
28051,cluster_2
28053,cluster_2
28055,cluster_2
28057,cluster_3
28059,cluster_3
28061,cluster_3
28063,cluster_2
28065,cluster_2
28067,cluster_3
28069,cluster_2
28071,cluster_3
28073,cluster_3
28075,cluster_3
28077,cluster_3
28079,cluster_3
28081,cluster_3
28083,cluster_2
28085,cluster_3
28087,cluster_3
28089,cluster_3
28091,cluster_3
28093,cluster_3
28095,cluster_3
28097,cluster_3
28099,cluster_3
28101,cluster_3
28103,cluster_2
28105,cluster_3
28107,cluster_2
28109,cluster_3
28111,cluster_3
28113,cluster_2
28115,cluster_3
28117,cluster_3
28119,cluster_2
28121,cluster_3
28123,cluster_3
28125,cluster_2
28127,cluster_3
28129,cluster_3
28131,cluster_3
28133,cluster_2
28135,cluster_2
28137,cluster_3
28139,cluster_3
28141,cluster_3
28143,cluster_2
28145,cluster_3
28147,cluster_3
28149,cluster_3
28151,cluster_2
28153,cluster_3
28155,cluster_3
28157,cluster_2
28159,cluster_3
28161,cluster_3
28163,cluster_2
29001,cluster_8
29003,cluster_8
29005,cluster_8
29007,cluster_8
29009,cluster_8
29011,cluster_8
29013,cluster_8
29015,cluster_8
29017,cluster_8
29019,cluster_8
29021,cluster_8
29023,cluster_8
29025,cluster_8
29027,cluster_8
29029,cluster_8
29031,cluster_8
29033,cluster_8
29035,cluster_5
29037,cluster_8
29039,cluster_8
29041,cluster_8
29043,cluster_8
29045,cluster_8
29047,cluster_8
29049,cluster_8
29051,cluster_8
29053,cluster_8
29055,cluster_8
29057,cluster_8
29059,cluster_8
29061,cluster_8
29063,cluster_8
29065,cluster_8
29067,cluster_8
29069,cluster_8
29071,cluster_8
29073,cluster_8
29075,cluster_8
29077,cluster_8
29079,cluster_8
29081,cluster_8
29083,cluster_8
29085,cluster_8
29087,cluster_5
29089,cluster_8
29091,cluster_8
29093,cluster_8
29095,cluster_8
29097,cluster_8
29099,cluster_8
29101,cluster_8
29103,cluster_8
29105,cluster_8
29107,cluster_8
29109,cluster_8
29111,cluster_8
29113,cluster_8
29115,cluster_8
29117,cluster_8
29119,cluster_8
29121,cluster_8
29123,cluster_8
29125,cluster_8
29127,cluster_8
29129,cluster_5
29131,cluster_8
29133,cluster_8
29135,cluster_8
29137,cluster_8
29139,cluster_8
29141,cluster_8
29143,cluster_8
29145,cluster_8
29147,cluster_8
29149,cluster_8
29151,cluster_8
29153,cluster_5
29155,cluster_8
29157,cluster_8
29159,cluster_8
29161,cluster_8
29163,cluster_8
29165,cluster_8
29167,cluster_8
29169,cluster_8
