FIPS,clusters
18101,cluster_3
18103,cluster_0
18105,cluster_0
18107,cluster_0
18109,cluster_0
18111,cluster_0
18113,cluster_0
18117,cluster_0
18119,cluster_0
18121,cluster_0
18123,cluster_0
18125,cluster_0
18127,cluster_0
18129,cluster_0
18131,cluster_0
18133,cluster_0
18135,cluster_3
18137,cluster_0
18139,cluster_0
18141,cluster_0
18143,cluster_0
18145,cluster_0
18147,cluster_0
18149,cluster_0
18151,cluster_0
18153,cluster_0
18155,cluster_0
18157,cluster_0
18159,cluster_0
18163,cluster_0
18165,cluster_0
18167,cluster_0
18169,cluster_0
18171,cluster_0
18173,cluster_0
18175,cluster_0
18177,cluster_0
18179,cluster_0
18181,cluster_0
18183,cluster_0
19001,cluster_0
19003,cluster_0
19005,cluster_0
19007,cluster_0
19009,cluster_0
19011,cluster_0
19013,cluster_0
19015,cluster_0
19017,cluster_0
19019,cluster_0
19021,cluster_0
19023,cluster_0
19025,cluster_0
19027,cluster_0
19029,cluster_0
19031,cluster_0
19033,cluster_0
19035,cluster_0
19037,cluster_0
19039,cluster_0
19041,cluster_0
19043,cluster_0
19045,cluster_0
19047,cluster_0
19049,cluster_0
19051,cluster_0
19053,cluster_0
19055,cluster_0
19057,cluster_0
19059,cluster_0
19061,cluster_0
19063,cluster_0
19065,cluster_0
19067,cluster_0
19069,cluster_0
19071,cluster_0
19073,cluster_0
19075,cluster_0
19077,cluster_0
19079,cluster_0
19081,cluster_0
19083,cluster_0
19085,cluster_0
19087,cluster_0
19089,cluster_0
19091,cluster_0
19093,cluster_0
19095,cluster_0
19097,cluster_0
19099,cluster_0
19101,cluster_0
19103,cluster_0
19105,cluster_0
19107,cluster_0
19109,cluster_0
19111,cluster_0
19113,cluster_0
19115,cluster_0
19117,cluster_0
19119,cluster_0
19121,cluster_0
19123,cluster_0
19125,cluster_0
19127,cluster_0
19129,cluster_0
19131,cluster_0
19133,cluster_0
19135,cluster_0
19137,cluster_0
19139,cluster_0
19141,cluster_0
19143,cluster_0
19145,cluster_0
19147,cluster_0
19149,cluster_0
19151,cluster_0
19153,cluster_0
19155,cluster_0
19157,cluster_0
19159,cluster_0
19161,cluster_0
19163,cluster_0
19165,cluster_0
19167,cluster_0
19169,cluster_0
19171,cluster_0
19173,cluster_0
19175,cluster_0
19177,cluster_0
19179,cluster_0
19181,cluster_0
19183,cluster_0
19185,cluster_0
19187,cluster_0
19189,cluster_0
19191,cluster_0
19193,cluster_0
19195,cluster_0
19197,cluster_0
20001,cluster_0
20003,cluster_0
20005,cluster_0
20007,cluster_0
20009,cluster_0
20011,cluster_0
20013,cluster_0
20015,cluster_0
20017,cluster_0
20019,cluster_0
20021,cluster_0
20023,cluster_0
20025,cluster_0
20027,cluster_3
20029,cluster_0
20031,cluster_0
20033,cluster_0
20035,cluster_0
20037,cluster_0
20039,cluster_0
20041,cluster_0
20043,cluster_0
20045,cluster_0
20047,cluster_0
20049,cluster_0
20051,cluster_0
20053,cluster_0
20055,cluster_0
20057,cluster_0
20059,cluster_0
20061,cluster_0
20063,cluster_0
20065,cluster_0
20067,cluster_0
20069,cluster_0
20071,cluster_0
20073,cluster_0
20075,cluster_0
20077,cluster_0
20079,cluster_0
20081,cluster_0
20083,cluster_0
20085,cluster_0
20087,cluster_0
